,Column1,Column2,Sum of Function Results
145,Kashmiri,Sanskrit,0.38562536731388813
146,Kashmiri,Hindi,0.4194711805247806
147,Kashmiri,Assamese,0.2565665749700716
148,Kashmiri,Bhojpuri,0.35348905710074324
149,Kashmiri,Gujarati,0.3631604863028834
150,Kashmiri,Sinhalese,0.4117416633844461
151,Kashmiri,Pali,0.3891649366574602
152,Konkani,Kashmiri,0.3764242599071216
153,Konkani,English,0.29498127948783565
154,Konkani,Bengali,0.5106978350824682
155,Konkani,Hindi,0.5411048272331916
156,Konkani,Assamese,0.43147763082200624
157,Konkani,Bhojpuri,0.5397233312232161
158,Konkani,Dhivehi,0.38708647596386264
159,Konkani,Sinhalese,0.43957862227053957
160,Konkani,Romani,0.418928835054899
161,Konkani,Odia,0.4852779287101809
162,Konkani,Marathi,0.6464791970888127
163,Konkani,Sindhi,0.4976379281072173
164,Konkani,Saraiki,0.48889468147577175
165,Konkani,Punjabi,0.5282610632047025
166,Konkani,Nepali,0.5319724294994596
167,Konkani,Urdu,0.5371155772121955
168,Konkani,Pali,0.5181438503729738
169,Konkani,Sanskrit,0.49619722097292834
170,Konkani,Gujarati,0.5664868475082415
171,Marathi,Odia,0.525036661487087
172,Marathi,Dhivehi,0.44281305391266285
173,Marathi,Bengali,0.5620859480302774
174,Marathi,Sanskrit,0.5181022979780744
175,Marathi,Pali,0.5496512328166343
176,Marathi,Hindi,0.6156419099138216
177,Marathi,Konkani,0.6464791970888127
178,Marathi,Urdu,0.5885279116933131
179,Marathi,Nepali,0.6076983479674991
180,Marathi,Punjabi,0.5637099798360437
181,Marathi,Saraiki,0.5327634965891234
182,Marathi,Assamese,0.47001222584383384
183,Marathi,Bhojpuri,0.6024782866512793
184,Marathi,English,0.30858966498488005
185,Marathi,Romani,0.46454750933701927
186,Marathi,Sinhalese,0.474138449236759
187,Marathi,Sindhi,0.5539725221229708
188,Marathi,Kashmiri,0.4071185636863115
189,Marathi,Gujarati,0.6345064953875628
190,Nepali,Urdu,0.6332073902122212
191,Nepali,Saraiki,0.5726936237173181
192,Nepali,Hindi,0.6533926301697179
193,Nepali,Punjabi,0.6130776583962688
194,Nepali,Bengali,0.5575058745751177
195,Nepali,Sinhalese,0.4734410969887769
196,Nepali,Dhivehi,0.4623181324124503
197,Nepali,Romani,0.5083243346298327
198,Nepali,Assamese,0.49381980772594986
199,Nepali,Bhojpuri,0.6022192634108898
200,Nepali,Pali,0.5505235254142546
201,Nepali,Odia,0.5395782126861031
202,Nepali,Sanskrit,0.5143244043060008
203,Nepali,Sindhi,0.5957517016293183
204,Nepali,Gujarati,0.6035937496715044
205,Nepali,Kashmiri,0.43939965452502827
206,Nepali,Konkani,0.5319724294994596
207,Nepali,Marathi,0.6076983479674991
208,Nepali,English,0.29182173593261695
209,Odia,Gujarati,0.5329142242875853
210,Odia,Hindi,0.5932131675632941
211,Odia,Dhivehi,0.38802806902645864
212,Odia,Sindhi,0.5192379921963541
213,Odia,Pali,0.5349287686301719
214,Odia,Urdu,0.5702323488267818
215,Odia,Nepali,0.5395782126861031
216,Odia,Marathi,0.525036661487087
217,Odia,Punjabi,0.5554241322242243
218,Odia,Konkani,0.4852779287101809
219,Odia,Bhojpuri,0.5486293801453682
220,Odia,Sanskrit,0.5032759864252847
221,Odia,Assamese,0.5806327545112915
222,Odia,Saraiki,0.5128558309602708
223,Odia,Sinhalese,0.4562625715178523
224,Odia,English,0.3568338012897479
225,Odia,Kashmiri,0.29355040030218316
226,Odia,Romani,0.47163427912220174
227,Odia,Bengali,0.6873273090089285
228,Pali,Odia,0.5349287686301719
229,Pali,Konkani,0.5181438503729738
230,Pali,Assamese,0.4804770913466566
231,Pali,Romani,0.4636288959615391
232,Pali,Marathi,0.5496512328166343
233,Pali,Sinhalese,0.5491548869659533
234,Pali,Bhojpuri,0.5593283566368452
235,Pali,Sindhi,0.529398936909864
236,Pali,Kashmiri,0.3891649366574602
237,Pali,Dhivehi,0.45460417965593947
238,Pali,Gujarati,0.5549634953821749
239,Pali,Urdu,0.5633598145330374
240,Pali,Sanskrit,0.7496247581708819
241,Pali,Nepali,0.5505235254142546
242,Pali,English,0.2991943227047897
243,Pali,Hindi,0.5899030244095805
244,Pali,Bengali,0.5446884902026379
245,Pali,Punjabi,0.5718193661257843
246,Pali,Saraiki,0.5532205689325542
247,Punjabi,Sindhi,0.6158339509156163
248,Punjabi,English,0.2894204071452749
249,Punjabi,Urdu,0.7226414461749175
250,Punjabi,Marathi,0.5637099798360437
